
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
1C:18:4A:6D:04:50, 2026-01-19 15:05:59, 2026-01-19 15:06:09, 10, 130, WPA2, CCMP, PSK, -35,       23,      226,   0.  0.  0.  0,  13, BSNL_FTTH4219, 
8C:C7:C3:77:4E:73, 2026-01-19 15:05:59, 2026-01-19 15:06:06,  5, 270, WPA2, CCMP TKIP, PSK, -74,        7,        7,   0.  0.  0.  0,   9, Spunic-kv, 
B0:A7:B9:9E:BA:AD, 2026-01-19 15:05:59, 2026-01-19 15:06:09,  2, 130, WPA2, CCMP, PSK, -35,       33,       20,   0.  0.  0.  0,  14, TP-link_Spunic, 
B2:A7:B9:AE:BA:AD, 2026-01-19 15:05:59, 2026-01-19 15:06:09,  2, 130, WPA2, CCMP, PSK, -35,       36,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:9C:67:CF:39:79, 2026-01-19 15:05:59, 2026-01-19 15:06:08, -73,      225, 1C:18:4A:6D:04:50,
B0:3C:DC:E3:A7:60, 2026-01-19 15:05:59, 2026-01-19 15:06:09, -30,       48, 1C:18:4A:6D:04:50,
80:B6:55:46:1A:54, 2026-01-19 15:05:59, 2026-01-19 15:06:06, -58,        6, 8C:C7:C3:77:4E:73,
86:63:84:6C:3D:89, 2026-01-19 15:05:59, 2026-01-19 15:06:08, -75,       19, B0:A7:B9:9E:BA:AD,TP-link_Spunic
D4:F3:2D:74:FF:54, 2026-01-19 15:06:01, 2026-01-19 15:06:09, -71,       14, 1C:18:4A:6D:04:50,
50:76:AF:E7:71:EC, 2026-01-19 15:06:01, 2026-01-19 15:06:04, -58,        2, 1C:18:4A:6D:04:50,
0E:69:6F:E4:93:5B, 2026-01-19 15:06:03, 2026-01-19 15:06:09, -59,       10, 1C:18:4A:6D:04:50,
76:A5:1A:4B:65:B0, 2026-01-19 15:06:03, 2026-01-19 15:06:03, -79,        2, (not associated) ,
EE:B4:60:41:69:65, 2026-01-19 15:06:03, 2026-01-19 15:06:03, -71,        2, (not associated) ,
C6:D8:71:9C:8E:14, 2026-01-19 15:06:03, 2026-01-19 15:06:03, -71,        2, (not associated) ,
FE:75:19:F3:26:CD, 2026-01-19 15:06:04, 2026-01-19 15:06:04, -50,        3, 1C:18:4A:6D:04:50,
AE:37:19:8C:5C:62, 2026-01-19 15:06:04, 2026-01-19 15:06:06, -75,        5, 8C:C7:C3:77:4E:73,
B4:8C:9D:63:D3:59, 2026-01-19 15:06:06, 2026-01-19 15:06:06, -67,        2, 8C:C7:C3:77:4E:73,
42:EC:07:F6:02:F0, 2026-01-19 15:06:07, 2026-01-19 15:06:07, -83,        1, (not associated) ,

